fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1699,car,0.86,tensor(2.),916,294,1106,437,"$5059 LYy
",0.28,45,86,94,105,"$5059 LYy
"
1699,car,0.73,tensor(3.),1431,321,1513,383,,0,0,0,0,0,
1699,car,0.71,tensor(4.),1144,306,1208,359,,0,0,0,0,0,
1700,car,0.9,tensor(1.),1641,256,1919,756,"(( — = __—
",0.48,100,0,271,28,"(( — = __—
"
1700,car,0.84,tensor(2.),904,294,1102,440,"$3059 LYY
",0.66,48,88,99,107,"$3059 LYY
"
1700,car,0.73,tensor(3.),1431,321,1513,383,,0,0,0,0,0,
1700,car,0.7,tensor(4.),1143,306,1208,359,,0,0,0,0,0,
1701,car,0.87,tensor(1.),896,293,1099,443,"$3059 LYY
",0.55,47,91,99,110,"$3059 LYY
"
1701,car,0.86,tensor(2.),1678,251,1918,758,"i x___
",0.19,91,0,240,26,"i x___
"
1701,car,0.72,tensor(3.),1432,321,1513,382,,0,0,0,0,0,
1701,car,0.68,tensor(4.),1143,306,1208,360,,0,0,0,0,0,
1702,car,0.89,tensor(1.),885,293,1093,447,"£9059 LYY,
",0.6,49,94,103,114,"£9059 LYY,
"
1702,car,0.82,tensor(2.),1725,248,1919,777,,0,0,0,0,0,
1702,car,0.71,tensor(3.),1432,321,1513,382,,0,0,0,0,0,
1702,car,0.63,tensor(4.),1142,306,1208,360,,0,0,0,0,0,
1703,car,0.86,tensor(1.),874,292,1088,450,"$5059 LYY,
",0.66,50,96,105,116,"$5059 LYY,
"
1703,car,0.72,tensor(2.),1432,321,1512,382,,0,0,0,0,0,
1703,person,0.71,tensor(3.),1762,318,1800,412,,0,0,0,0,0,
1703,car,0.67,tensor(4.),1141,306,1211,361,,0,0,0,0,0,
1704,car,0.9,tensor(1.),862,293,1087,455,"£3059 LY,
",0.72,50,100,108,119,"£3059 LY,
"
1704,person,0.79,tensor(2.),1762,319,1800,414,,0,0,0,0,0,
1704,car,0.73,tensor(3.),1431,321,1513,382,,0,0,0,0,0,
1704,car,0.66,tensor(4.),1141,306,1211,362,,0,0,0,0,0,
1705,car,0.88,tensor(1.),847,292,1082,459,"£9059 LYY,
",0.73,54,103,113,123,"£9059 LYY,
"
1705,person,0.77,tensor(2.),1764,320,1803,412,,0,0,0,0,0,
1705,car,0.73,tensor(3.),1431,321,1513,382,,0,0,0,0,0,
1705,car,0.66,tensor(4.),1141,306,1211,362,,0,0,0,0,0,
1706,car,0.91,tensor(1.),833,291,1075,463,"£5059 LYY
",0.74,56,107,117,127,"£5059 LYY
"
1706,person,0.74,tensor(2.),1764,320,1802,412,,0,0,0,0,0,
